article_id,article_url,article_title,article_tags,image_id,image_url
1,https://www.rfdtv.com/helena-agri-enterprises-hosts-evolve-innovations-expo-in-memphis,Helena Agri-Enterprises hosts Evolve Innovations Expo in Memphis,products group;agricenter international,2745A43B9E53413E39DFD0B2E52500B1,https://cdn.jwplayer.com/v2/media/0aHC9TAX/thumbnails/oujne7ql.jpg
2,https://943wsc.iheart.com/content/2023-07-19-no-evidence-of-toddler-on-highway-before-carlee-russell-vanished-cops/,No Evidence Of Toddler On Highway Before Carlee Russell Vanished: Cops,carlee nichole russell|hoover police department,37FC359AB91C0DC6D21D270AED0C87E3,"https://i.iheart.com/v3/re/new_assets/64b2fed592de5567c93edab9?ops=gravity(%22north%22),fit(1200,675),quality(65)"
3,https://kowb1290.com/laramie-rangers-play-final-home-games-of-2023/,Laramie Rangers Play Final Home Games of 2023,oilers;nate perleberg;aaron lozano|parker co lightning,59495628A854CBBC399881F38DF6471F,https://townsquare.media/site/106/files/2023/07/attachment-Laramie-Rangers-2023-02.jpg?&zc=1&s=0&a=t&q=89
4,https://www.mapleridgenews.com/news/undesired-air-brake-release-behind-b-c-train-derailment-near-alberta-report/,'Undesired' air brake release behind B.C. train derailment near Alberta: report,pacific railway,74921B2C67ED9EA6A509A09FFE2C42DC,https://www.mapleridgenews.com/wp-content/uploads/2023/07/33353218_web1_230719-BPD-TSB-train-derailment-report_2.jpg
5,https://www.fourfourtwo.com/news/why-england-can-win-the-womens-world-cup-2023-despite-missing-key-players,Why England CAN win the Women's World Cup 2023 - despite missing key players,russo;fran kirby;beth mead;ellen white;leah williamson;lauren james;fourfourtwo adam clery;rachel daly;ella toone;chloe kelly;niamh charles;jess carter;alex greenwood;sarina wiegman|united states,E10A3861C9122D8704CFE5A6A8343867,https://cdn.mos.cms.futurecdn.net/3xNoemnubE8usN8NbXaRe4-1200-80.jpg
6,https://www.nbcchicago.com/news/business/money-report/house-committee-takes-aim-at-u-s-venture-capital-firms-for-investments-in-chinese-a-i/3190157/,House committee takes aim at U.S. venture capital firms for investments in Chinese A.I.,gallagher;abu dhabi;raja krishnamoorthi;antony blinken;janet yellen;neil shen|georgetown center;u s commerce department;sequoia capital;macquarie group;new york times;qualcomm;house select committee;chinese communist party;denglin technology;walden international,91557C90C8212ADA6007EF98B4418D4B,https://media.nbcchicago.com/2023/07/107257768-1686854178653-gettyimages-1258714270-house_votes811_061523.jpeg?quality=85&strip=all
7,https://943wsc.iheart.com/content/2023-07-19-national-park-service-issues-warning-after-second-woman-attacked-by-bison/,National Park Service Issues Warning After Second Woman Attacked By Bison,roosevelt national park;national park service;yellowstone national park,A053193F3F526ED7B1E5A21291012A39,"https://i.iheart.com/v3/re/assets.getty/618e808d40274e7f9239a345?ops=gravity(%22north%22),fit(1200,675),quality(65)"
8,https://people.com/hero-dog-reward-locating-escaped-inmate-michael-burnham-7562980,"Hero Dog Gets $2,000 Reward for Locating Escaped Inmate Michael Burham",charles burham;cecile stelter;cindy ecklund|jamestown police department;cnn,F57D8EB7A534629EA167316F9B74FB95,https://people.com/thmb/fIb8fikJWPBDIlfT9hZJtUjtlgA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(531x264:533x266)/hero-lab-071923-4-96d919786342439aa9530803f16f26f4.jpg
9,https://www.marketscreener.com/quote/currency/EURO-US-DOLLAR-EUR-USD-4591/news/Global-stocks-dollar-gain-as-UK-cooling-inflation-lifts-sentiment-44372260/,"Global stocks, dollar gain as UK cooling inflation lifts sentiment",conger;deepa babington;kim coghill;naomi rovnick;tom westbrook;bernadette baum;rhys williams;chizu nomiyama|reuters;m t bank;nasdaq;federal reserve;hirtle callaghan co;silicon valley bank;goldman sachs,4DEE0174F0B8560C7EA4F37DDF846421,https://img.zonebourse.com/reuters/2015-09/2015-09-08T150215Z_1_LYNXNPEB870TT_RTROPTP_2_SWISS-SNB.JPG
10,https://weisradio.com/2023/07/19/6-more-heat-related-deaths-confirmed-in-maricopa-county-arizona/,"6 more heat-related deaths confirmed in Maricopa County, Arizona - WEIS | Local & Area News, Sports, & Weather",county department of public health;united states;national weather service,E0694AF8601B81A91691AF5F6972128D,https://weisradio.com/wp-content/uploads/2023/07/heat-wave-today-map-abc-jef-230719_1689771315513_hpEmbed_16x9_99228129-1.jpg
11,https://newsradiowkcy.iheart.com/content/2023-07-19-16-year-old-died-in-an-accident-while-working-at-a-poultry-plant/,16-Year-Old Died In An Accident While Working At A Poultry Plant | NewsRadio WKCY,hour division;labor department wage;health administration;united states;mar-jac poultry,99C0B145B336E62FFAA36FB955FE0CF2,"https://i.iheart.com/v3/re/assets.getty/5f91fb4150adcd3686f57fa3?ops=gravity(%22north%22),fit(1200,675),quality(65)"
12,https://www.lowellsun.com/2023/07/19/firms-with-flex-work-policies-are-hiring-faster-than-those-fully-in-office/,Firms with flex-work policies are hiring faster than those fully in office,content agency;technologies inc,022FB4047389C665142E24BA533D228F,https://www.lowellsun.com/wp-content/uploads/2023/07/BIZ-WRK-FLEXIBLE-HIRING-DMT.jpg
13,https://wkzo.com/2023/07/19/how-a-us-soldier-made-a-mad-dash-into-north-korea/,How a US soldier made a mad dash into North Korea,smith;matt spetalnick;andrei lankov;sandra maler;sarah leslie;don durfee;victor cha;otto warmbier|korea risk group;service ribbon;korean rotational;national defense service medal;korean defense service medal;u s army private travis t king;reuters,7D8DD8098AE5266DB35C68E94F5214DD,https://storage.googleapis.com/media.mwcradio.com/mimesis/2023-07/19/2023-07-19T192020Z_1_LYNXMPEJ6I0UL_RTROPTP_3_NORTHKOREA-USA-SOLDIER.JPG
14,https://wkdq.com/ixp/204/p/tenille-townes-train-track-worktapes-interview/,How Simple Human Kindness Inspired Tenille Townes' Latest EP,parton;tenille townes;carrie underwood;ashley mcbryde;mike fisher|,9453014B06898F46220309C0556545ED,https://townsquare.media/site/204/files/2023/07/attachment-Untitled-design-2023-07-19T110804.688.jpg?&zc=1&s=0&a=t&q=89
15,https://www.ksat.com/news/politics/2023/07/19/us-approves-13-billion-package-of-long-term-military-aid-for-ukraine/,US approves $1.3 billion package of long-term military aid for Ukraine,advanced missile system;ukraine security assistance initiative,BC596F8F42F6C06084532D1BEC53691E,"https://res.cloudinary.com/graham-media-group/image/upload/f_auto/q_auto/c_thumb,w_700/v1/media/gmg/X2GY54J5FNE6DGHGBTR3XGMEVM.jpg?_a=ATAPphC0"
16,https://www.tnonline.com/20230719/simple-1-skillet-chicken-dinner-evokes-feelings-of-summer/,"Simple, 1-skillet chicken dinner evokes feelings of summer Ã¢â‚¬â€œ Times News Online",julia child|nestle,2DDA1050889E4E6E7274A00FBF90E793,https://imengine.prod.ltn.infomaker.io/?uuid=CA34702F-FFA6-476F-BFD4-03B56AF8FD32&function=fit&type=preview
17,https://www.ludlowadvertiser.co.uk/news/national/23667456.donald-trumps-bid-move-hush-money-criminal-case-rejected-judge/,Donald Trump's bid to move hush money criminal case rejected by judge,k hellerstein;stormy daniels;donald trump;karen mcdougal;michael cohen;mary altaffer;alvin bragg;charlie neibergall;susan necheles;matthew colangelo|playboy;white house;us circuit court;national enquirer;oval office,9EE44A97DB10968C551E1CCB2716A372,https://www.ludlowadvertiser.co.uk/resources/images/16813514/?type=og-image
18,https://www.al.com/sec/2023/07/sec-media-days-what-we-learned-from-alabama-florida-and-others-on-day-3.html,"SEC Media Days: What we learned from Alabama, Florida and others on Day 3",pittman;devin leary;gus malzahn;notre dame;nick saban;hunter yurachek;billy napier;tyler buchner;jalen milroe;mark stoops;barry odom;travis williams|bank field;university of central florida,D5D71D5843951FC01E65D6B61F10EE88,https://www.al.com/resizer/M7zKlNDYy1zExQlOwnybLd57_Ro=/1280x0/smart/cloudfront-us-east-1.images.arcpublishing.com/advancelocal/MPED4QYXNVABDNYTSJTXWVBPGQ.jpg
19,https://whdg.com/2023/07/19/hear-a-preview-of-lady-as-new-song-love-you-back/,"Hear a preview of Lady A's new song, Love You Back",scott;charles kelley;dave haywood|,E8CD5B2C3FF44DE2F51E0C0C0A1A20A6,https://s3.amazonaws.com/syndication.abcaudio.com/files/2023-07-19/G_LadyAGrammySaluteToTheBeachBoys.jpg
20,https://www.mapleridgenews.com/community/raffle-to-raise-money-for-essential-needs-at-maple-ridge-hospital/,Raffle to raise money for essential needs at Maple Ridge hospital,meadows hospital foundation;ridge meadows foundation,E10AAF224A9B0A006650B56E8C7279D3,https://www.mapleridgenews.com/wp-content/uploads/2023/07/33354037_web1_230719-MRN-CF-Fortune-Raffle-RMHF_1.jpg
21,https://www.chathamdailynews.ca:443/news/local-news/former-simcoe-funeral-director-faces-criminal-charges-2,Former funeral director charged criminally | Chatham Daily News,taylor;andrew gamble;david brazeau;paul l taylor;shabbir dossa|cremation inc;funeral service compensation fund;bereavement authority of ontario,0070CE162D4761C9C3E8299DBB01D103,https://smartcdn.gprod.postmedia.digital/nexus/wp-content/uploads/2023/07/SR.0114-sr-funeral-baldock1.jpg
22,https://www.bloomberg.com/news/articles/2023-07-19/ups-to-restart-talks-with-union-to-head-off-potential-strike,"UPS, Teamsters Restart Talks to Head Off Potential Strike",brotherhood of teamsters;united parcel service inc,C5F92410186769A3512D0AF29CE2DF45,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/ibDwvRwQ5.Xo/v1/1200x800.jpg
23,https://www.aol.com/two-mothers-united-tragedy-organ-023157105.html,"Two mothers united by tragedy, organ donation stun with probably the most magical moment... ever experienced on America's Got Talent'",scadlock;simon cowell;dcorey johnson;heidi klum;putri ariani;holly campbell;jake campbell;lyndsey parker;beckham scadlock;howie mandel;los angeles|,FCF54E02298B187CBFCA900AAEE136AB,https://s.yimg.com/ny/api/res/1.2/tZF1DfZwCZbhSiQZuA1PIg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/aol_yahoo_music_149/4f3ec91b4a12da740332881b879ae4ef
24,https://www.wisbechstandard.co.uk/news/national/23667440.leo-varadkar-meets-ukrainian-actor-kyiv-dublin-assault/,Leo Varadkar meets Ukrainian actor in Kyiv after Dublin assault,zelensky;clodagh kilcoyne;brian friel;oleksandr hrekov clodagh kilcoyne;catherine martin;leo varadkar;oleksandr hrekov|lesya ukrainka national academic drama theatre,95324CE83E2F5AC9C0E492EB531312B9,https://www.wisbechstandard.co.uk/resources/images/17020921/?type=og-image
25,https://www.thejakartapost.com/paper/2023/07/20/new-export-receipt-rules-mostly-good-but-must-not-hamper-cashflow.html,Export receipt rules must not hurt cashfl ow: Kadin,joko jokowi widodo|google,CD0A48824D13BC5FD8B56664C9E8FA47,https://img.jakpost.net/c/2016/11/17/2016_11_17_16170_1479362317._large.jpg
26,https://gulfnews.com/uae/government/uae-president-mohamed-bin-zayed-receives-turkeys-president-recep-tayyip-erdogan-speaks-of-close-and-historic-ties-between-the-two-nations-1.97054734,"UAE President Mohamed bin Zayed receives Turkey's President Recep Tayyip Erdogan, speaks of close and historic ties between the two nations",al nahyan;tugay tuncer;abu dhabi;tayyip erdogan;sheikh mohamed;qasr al watan;ahmed al zeyoudi;al zeyoudi|emirates news agency;recep tayyip erdogan to gulf cooperation council;strategic council;economic partnership agreement,BC69DE4EE26D0D811E5C7122F15030D8,https://imagevars.gulfnews.com/2023/07/19/20230719-uae-turkey_1896f33b092_medium.jpg
27,https://www.devdiscourse.com/article/politics/2529671-new-leader-of-moldovan-region-thanks-exiled-patron-backs-ties-with-russia,"New leader of Moldovan region thanks exiled patron, backs ties with Russia",gutul;maia sandu;ilan shor|moldova constitutional court;european union,1F892313042E73BF7019103C7A2D0C1C,https://www.devdiscourse.com/remote.axd?https://devdiscourse.blob.core.windows.net/imagegallery/29_02_2020_16_55_29_8451536.jpg?&format=jpeg
28,https://www.cairnspost.com.au/news/breaking-news/new-data-finds-subscriptions-services-first-to-go-in-costofliving-crisis/news-story/27cb40d1dda7f7e6f11863b36e8f3e20?nk=9549e4e3e87f3bf505286e5763acde09-1689799598,New data finds subscriptions services first to go in cost-of-living crisis,sentiment;australian bureau of statistics,1932004E13675BE560701B519177B818,https://content.api.news/v3/images/bin/681015174a63ffa93fe2b7267d6c3e70
29,https://scrippsnews.com/stories/trump-loses-bid-to-move-hush-money-case-to-federal-court/,Trump loses bid to move hush-money case to federal court,jean carroll;donald trump;alvin hellerstein|district court,25EC81F7BCA27146B16F2DB3ECB5EE20,https://cdn.scrippsnews.com/images/videos/m/1689795078_eg9Pga.jpg
30,https://elvisduran.iheart.com/content/2023-07-19-ex-patriots-player-says-belichicks-success-was-all-from-tom-brady/,Ex-Patriots Player Says Belichick's Success 'Was All' From Tom Brady | Elvis Duran and the Morning Show,brady;darrelle revis;mac jones;louis riddick;bryant mcfadden;bill belichick;cam newton|twitter;espn,EB4115A5103A4422C65FDEBCA650D0E8,"https://i.iheart.com/v3/re/new_assets/64b827e4abf60b469a350eb2?ops=gravity(%22north%22),fit(1200,675),quality(65)"
31,https://www.aol.com/news/arrested-california-nurse-practitioner-abused-174137615.html,"Arrested California nurse practitioner has abused boys, men worldwide for decades, FBI says",earl reger;russell quiniola;sam stanton|u s department of homeland security;united states;lassen ambulance service;california department of consumer affairs;lassen county sheriff office;sheriff office;susanville church;mountain ems inc,74A122ED2AE76B25844A42D5F43C82C9,https://media.zenfs.com/en/aol_sacramento_bee_mcclatchy_114/1e4ba914babeeeb3223906796855e7ad
32,https://power96radio.com/ixp/719/p/a-famous-wisconsin-festival-is-suing-the-minnesota-twins/,A Famous Wisconsin Festival Is Suing The Minnesota Twins,world festival inc,C147F39F56EC805661F6451CEB75A037,https://townsquare.media/site/719/files/2023/07/attachment-Twins-Lawsuit-WI.jpg?&zc=1&s=0&a=t&q=89
33,https://www.dailynews.com/2023/07/19/am-i-crossing-picket-lines-if-i-see-a-movie-and-other-hollywood-strike-fan-questions-answered/,'Am I crossing picket lines if I see a movie?' and other Hollywood strike fan questions answered,equity association;netflix;television producers;alliance of motion,45AE342047D53FA62D5A97B0E447AF2A,https://www.dailynews.com/wp-content/uploads/2023/07/BIZ-HOLLYWOOD-ACTORS-STRIKE-EXPLAINER-LA-1.jpg
34,https://www.dailycamera.com/2023/07/19/guest-opinion-robin-noble-boulder-should-wait-on-cannabis-hospitality/,Robin Noble: Boulder should wait on cannabis hospitality,city council;city council,9AE86B68C03040EF1E655CE16B4A164E,https://www.dailycamera.com/wp-content/uploads/2022/02/AURORA-CANNABIS013.jpg
35,https://wjbq.com/ixp/490/p/multiple-people-injured-as-car-slams-into-maine-moose-killing-it-before-plunging-into-trees/,"Multiple People Injured as Car Slams Into Maine Moose, Kills It",center maine,2875FFEFC07C5D510396321554B478E1,https://townsquare.media/site/490/files/2023/07/attachment-Untitled-design-51.jpg?&zc=1&s=0&a=t&q=89
36,https://www.foxbusiness.com/technology/meta-releases-ai-model-commercial-use-partnering-microsoft,"Meta releases AI model for commercial use, partnering with Microsoft",web services;facebook;reuters;microsoft,1C46ADC24A1CEA8CBBE1F3CEE072BA99,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2023/07/0/0/Llama.jpg?ve=1&tl=1
37,https://927thedrive.net/news/breaking-national-news/22aebbf2b35afb1a92ba9d92c633b981,"Breaking National News - 92.7-FM TheDRIVE - Bob & Tom Mornings, Central New York's Best Rock All Day",bragg;michael cohen;donald trump;stormy daniels;alvin hellerstein;eva marie uzcategui bloomberg|white house;york state supreme court,B27310C1891195F8708866489774EB49,https://s3.amazonaws.com/syndication.abcaudio.com/files/2023-07-19/GettyImages_Trump_071923.jpg
38,https://www.dailymail.co.uk/femail/article-12316115/Measles-ruined-health-life-Dont-let-happen-child-says-JENNI-MURRAY.html,"Measles has ruined my health for life. Don't let it happen to your child too, says JENNI MURRAY",wakefield;tim shaddock;christopher robin;roald dahl;victoria beckham;george clooney;doug ross;marketa vondrousova|world health organisation;united kingdom health security agency,FFBDCF18A2D918E2BA22DC42ABE0F88A,https://i.dailymail.co.uk/1s/2023/07/19/20/73399965-0-image-a-88_1689795997669.jpg
